"","X","Species","subspecies","Mig_Sed","HowAssignedMig_Sed","Specimen..","Mass","Measurer","Collection","Collection.Year","Collection.Month","Collection.Day","Country","State.province","County.District","Locality","Elevation","Latitude","Longitude","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Distance","WC.Average","Tail","Age","Sex","Kipp.s.Index","tip.label"
"1340",1370,"Tyrannus_melancholicus","satrapa","partial","taxonomy","127164",NA,"MM","The Field Museum","1905",2,"22","Nicaragua","Zelaya","","Sacklin, Rio Wanks, 50 mi above Cabo Gracias a Dios","",15.71053,-83.1667,17.745,10.185,7.305,18.485,30.325,115.53,NA,"Adult","Male",26.2485934389336,"Tyrannus_melancholicus_satrapa"
"1342",1372,"Tyrannus_melancholicus","satrapa","partial","taxonomy","127166",NA,"MM","The Field Museum","1931",4,"16","Costa Rica","","","El Copey de Dota","1829m",9.783441,-83.7297,17.805,9.41,6.975,17.985,NA,NA,NA,"Adult","Male",NA,"Tyrannus_melancholicus_satrapa"
"1344",1374,"Tyrannus_melancholicus","satrapa","partial","taxonomy","127168",NA,"MM","The Field Museum","1930",12,"6","Costa Rica","Guanacaste","","Tempate","46m",10.41416,-85.7202,17.8,9.785,7.1,19.365,NA,NA,NA,"Adult","Male",NA,"Tyrannus_melancholicus_satrapa"
"1346",1376,"Tyrannus_melancholicus","satrapa","partial","taxonomy","127170",NA,"MM","The Field Museum","1930",10,"6","Costa Rica","Guanacaste","","Filadelfia","",10.44458,-85.5515,18.455,9.725,7.63,18.715,NA,NA,NA,"Adult","Male",NA,"Tyrannus_melancholicus_satrapa"
"1347",1377,"Tyrannus_melancholicus","satrapa","partial","taxonomy","127171",NA,"MM","The Field Museum","1930",9,"11","Costa Rica","","","Caâ€“a Island, Pacific Ocean","",8.7089,-83.8789,18.24,10.205,7.775,18.34,29.94,109.99,87.54,"Adult","Male",27.2206564233112,"Tyrannus_melancholicus_satrapa"
"1350",1380,"Tyrannus_albogularis","","migratory","taxonomy","129407",NA,"MM","Smithsonian tiol Museum of tural History","1883",2,"24","Brazil","Mato Grosso","","Chapada","",-15.4167,-55.75,15.535,8.565,NA,16.055,NA,NA,NA,"Adult","Male",NA,"Tyrannus_albogularis"
"1351",1381,"Tyrannus_albogularis","","migratory","taxonomy","129408",NA,"MM","Smithsonian tiol Museum of tural History","1885",8,"31","Brazil","Mato Grosso","","Chapada","",-15.4167,-55.75,14.65,9.095,6.18,18.07,26.86,98.89,87.8,"Adult","Male",27.1614925674992,"Tyrannus_albogularis"
"1353",1383,"Tyrannus_forficatus","","migratory","taxonomy","130648",38,"MM","Louisiana State University Museum of tural Sciences","1986",4,"11","United States of America","Texas","Atascosa County","10 mi. SSE Charlotte","",28.72756,-98.6435,14.095,7.805,6.49,19.825,51.775,128.055,237,"Adult","Male",40.4318456913045,"Tyrannus_forficatus"
"1355",1385,"Tyrannus_vociferans","vociferans","partial","taxonomy","130768",45.5,"MM","Royal Ontario Museum","1978",5,"17","United States of America","Texas","Brewster County","7 mi N Alpine","",30.4525,-103.658,NA,NA,NA,20.19,39.6,131.75,89.52,"Adult","Male",30.0569259962049,"Tyrannus_vociferans_vociferans"
"1356",1386,"Tyrannus_vociferans","vociferans","partial","taxonomy","130771",46,"MM","Royal Ontario Museum","1977",7,"14","United States of America","Texas","Jeff Davis County","20 mi W Fort Davis, Davis Mountains","",30.59064,-104.227,NA,NA,NA,19.6,38.51,132.24,91.3,"Adult","Male",29.12129461585,"Tyrannus_vociferans_vociferans"
"1358",1389,"Tyrannus_vociferans","vociferans","partial","taxonomy","130810",48,"MM","Royal Ontario Museum","1978",6,"14","Canada","Ontario","Parry Sound District","16 km NW Pointe au Baril Station","4270",45.72257,-80.4681,NA,NA,NA,20.03,43.06,132.69,93.02,"Adult","Male",32.4515788680383,"Tyrannus_vociferans_vociferans"
"1360",1391,"Tyrannus_forficatus","","migratory","taxonomy","131096",41.3,"MM","Louisiana State University Museum of tural Sciences","1986",10,"19","United States of America","Louisiana","Cameron Parish","Garner Ridge, 3 mi. W Johnsons Bayou School","",29.761886,-93.780994,14.5,7.6,6.27,20.645,40.3,119.51,170,"Adult","Male",33.7210275290771,"Tyrannus_forficatus"
"1361",1392,"Tyrannus_couchii","","partial","taxonomy","131099",46.5,"MM","Louisiana State University Museum of tural Sciences","1986",12,"21","United States of America","Louisiana","Cameron","W. side Calcasieu Pass, 2 1/2 mi. SW Cameron","",29.79523,-93.3275,15.885,10.44,7.405,19.145,30.22,114.905,93.78,"Adult","Male",26.2999869457378,"Tyrannus_couchii"
"1366",1397,"Tyrannus_verticalis","","migratory","taxonomy","136552",45,"MM","Royal Ontario Museum","1979",5,"27","United States of America","Texas","Brewster County","7 mi N Alpine, Meriwhether Ranch","",30.4525,-103.658,NA,NA,NA,19.19,40.2,126.25,85.64,"Adult","Male",31.8415841584158,"Tyrannus_verticalis"
"1371",1402,"Tyrannus_verticalis","","migratory","taxonomy","138261",NA,"MM","Royal Ontario Museum","1954",3,"19","United States of America","California","San Luis Obispo County","Cholame","",35.72372,-120.297,13.96,8.22,6.5,18.405,44.05,130.155,93.62,"Adult","Male",33.844262609965,"Tyrannus_verticalis"
"1372",1403,"Tyrannus_vociferans","vociferans","partial","taxonomy","138262",NA,"MM","Royal Ontario Museum","1954",3,"19","United States of America","California","San Luis Obispo County","Cholame","",35.72372,-120.283,16.625,8.88,7.03,19.505,41.53,132.33,89.19,"Adult","Male",31.3836620569788,"Tyrannus_vociferans_vociferans"
"1373",1404,"Tyrannus_vociferans","vociferans","partial","taxonomy","138263",NA,"MM","Royal Ontario Museum","1955",3,"25","United States of America","California","San Luis Obispo County","10 mi SE Shandon, Gillis Canyon","",35.63233,-120.249,16.42,9.075,7.915,20.23,39.225,132.3,93.56,"Adult","Male",29.6485260770975,"Tyrannus_vociferans_vociferans"
"1375",1406,"Tyrannus_melancholicus","melancholicus","partial","no location data","138406",38,"MM","Royal Ontario Museum","1952",10,"5","","","","","1000ft",NA,NA,17.11,9.9,7.235,17.345,32.05,109.71,90.35,"Adult","Male",29.2133807310181,"Tyrannus_melancholicus_melancholicus"
"1376",1407,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","138428",NA,"MM","Royal Ontario Museum","1945",10,"5","Ecuador","","","","",-1.51275,-78.6688,17.255,9.25,7.4,18.055,20.27,124.89,105.23,"Adult","Male",16.2302826487309,"Tyrannus_melancholicus_melancholicus"
"1378",1409,"Tyrannus_forficatus","","migratory","taxonomy","138434",NA,"MM","Royal Ontario Museum","1956",3,"18","United States of America","Texas","Kenedy County","Norias, Norias Headquarters King Ranch, Norias Division","",26.77213,-97.7073,13.33,7.435,6.355,18.3,52.58,129.385,247.907,"Adult","Male",40.6384047609847,"Tyrannus_forficatus"
"1379",1410,"Tyrannus_forficatus","","migratory","taxonomy","138435",NA,"MM","Royal Ontario Museum","1956",3,"13","United States of America","Texas","San Patricio County","Welden Wildlife Refuge, Sintion","",28.03629,-97.5093,13.595,7.52,6.175,19.065,47.885,121.255,257.296,"Adult","Male",39.4911550039174,"Tyrannus_forficatus"
"1380",1411,"Tyrannus_vociferans","vociferans","partial","taxonomy","138618",49.1,"MM","Royal Ontario Museum","1980",6,"17","United States of America","Texas","Brewster County","7 mi N Alpine","",30.4525,-103.658,NA,NA,NA,20.13,34.91,129.52,NA,"Adult","Male",26.9533662754787,"Tyrannus_vociferans_vociferans"
"1382",1413,"Tyrannus_tyrannus","","migratory","taxonomy","139380",37,"MM","Louisiana State University Museum of tural Sciences","",NA,"","United States of America","Louisiana","East Baton Rouge","Baton Rouge, Dalrymple Drive at April Street","",30.42455,-91.1686,13.645,7.545,5.97,18.19,39.78,116.465,79.28,"Adult","Male",34.1561842613661,"Tyrannus_tyrannus"
"1383",1414,"Tyrannus_tyrannus","","migratory","taxonomy","139607",37.1,"MM","Louisiana State University Museum of tural Sciences","",NA,"","United States of America","Louisiana","Vermillion Parish","Hwy. 91, 6 mi. S Gueydan","",30.02607,-92.5138,15.22,8.255,6.655,19.59,NA,NA,NA,"Adult","Male",NA,"Tyrannus_tyrannus"
"1385",1416,"Tyrannus_tyrannus","","migratory","taxonomy","140210",NA,"MM","The Field Museum","1900",5,"8","United States of America","Connecticut","New Haven","New Haven","",41.249759,-122.137786,13.255,7.77,6.245,18.39,37.98,118.48,87.3,"Adult","Male",32.0560432140446,"Tyrannus_tyrannus"
"1387",1418,"Tyrannus_vociferans","vociferans","partial","taxonomy","140240",NA,"MM","The Field Museum","1908",7,"8","United States of America","Arizona","Cochise","Chiricahua Mountains","",31.909391,-109.302719,14.34,8.155,7.08,19.98,NA,NA,NA,"Adult","Male",NA,"Tyrannus_vociferans_vociferans"
"1389",1420,"Tyrannus_vociferans","vociferans","partial","taxonomy","140242",NA,"MM","The Field Museum","1918",6,"17","United States of America","Arizona","Cochise","Clurry Caloo Mountain, Chiricahua Mountaints","",31.909391,-109.302719,15.61,8.74,7.115,19.005,NA,NA,NA,"Adult","Male",NA,"Tyrannus_vociferans_vociferans"
"1390",1421,"Tyrannus_vociferans","vociferans","partial","taxonomy","140243",NA,"MM","The Field Museum","1905",4,"8","United States of America","Arizona","Cochise","Palmerlee","",31.4238,-110.207535,15.435,8.63,6.72,19.55,39.9,131.765,83.94,"Adult","Male",30.281182408075,"Tyrannus_vociferans_vociferans"
"1391",1422,"Tyrannus_vociferans","vociferans","partial","taxonomy","140244",NA,"MM","The Field Museum","1905",4,"17","United States of America","Arizona","Cochise","Palmerlee","",31.4238,-110.207535,15.13,8.855,7.4,18.9,NA,NA,92.37,"Adult","Male",NA,"Tyrannus_vociferans_vociferans"
"1393",1424,"Tyrannus_vociferans","vociferans","partial","taxonomy","140246",NA,"MM","The Field Museum","1905",5,"10","United States of America","Arizona","Cochise","Palmerlee","",31.4238,-110.207535,13.19,8.31,6.54,20.2,NA,NA,NA,"Adult","Male",NA,"Tyrannus_vociferans_vociferans"
"1394",1425,"Tyrannus_vociferans","vociferans","partial","taxonomy","140248",NA,"MM","The Field Museum","1905",8,"1","United States of America","Arizona","Cochise","Palmerlee","",31.4238,-110.207535,16.045,8.63,6.715,20.27,NA,NA,NA,"Adult","Male",NA,"Tyrannus_vociferans_vociferans"
"1397",1428,"Tyrannus_vociferans","vociferans","partial","taxonomy","140251",NA,"MM","The Field Museum","1905",11,"1","United States of America","Arizona","Pima","Tucson","",32.221775,-110.926445,15.655,8.375,7.19,19.495,40.635,130.77,86,"Adult","Male",31.0736407432897,"Tyrannus_vociferans_vociferans"
"1398",1429,"Tyrannus_vociferans","vociferans","partial","taxonomy","140252",NA,"MM","The Field Museum","1918",3,"28","United States of America","Arizona","Pima","Tucson","",32.221775,-110.926445,14.9,9.165,7.06,20.095,40.39,130.735,97.53,"Adult","Male",30.8945576930432,"Tyrannus_vociferans_vociferans"
"1399",1430,"Tyrannus_vociferans","vociferans","partial","taxonomy","140253",NA,"MM","The Field Museum","1918",5,"4","United States of America","Arizona","Pima","Tucson","",32.221775,-110.926445,14.495,8.055,6.325,19.67,NA,NA,95.34,"Adult","Male",NA,"Tyrannus_vociferans_vociferans"
"1405",1436,"Tyrannus_vociferans","vociferans","partial","taxonomy","140259",NA,"MM","The Field Museum","1914",3,"9","United States of America","California","San Diego","Escondido","",33.11968,-117.088,15.53,8.44,7.5,19.335,NA,NA,NA,"Adult","Male",NA,"Tyrannus_vociferans_vociferans"
"1408",1439,"Tyrannus_couchii","","partial","taxonomy","140322",NA,"MM","The Field Museum","1909",11,"6","United States of America","Texas","Cameron County","Brownsville","",25.930568,-97.484093,16.555,NA,7.865,19.06,35.605,126.18,105.23,"Adult","Male",28.2176256142019,"Tyrannus_couchii"
"1409",1440,"Tyrannus_couchii","","partial","taxonomy","140323",NA,"MM","The Field Museum","1909",12,"22","United States of America","Texas","Cameron County","Brownsville","",25.930568,-97.484093,16.69,10.23,7.765,20.155,32.83,119.395,96.88,"Adult","Male",27.4969638594581,"Tyrannus_couchii"
"1410",1441,"Tyrannus_couchii","","partial","taxonomy","140324",NA,"MM","The Field Museum","1910",3,"3","United States of America","Texas","Cameron County","Brownsville","",25.930568,-97.484093,15.6,9.955,7.825,18.725,33.62,120.1,NA,"Adult","Male",27.9933388842631,"Tyrannus_couchii"
"1411",1442,"Tyrannus_couchii","","partial","taxonomy","140325",NA,"MM","The Field Museum","1910",5,"5","United States of America","Texas","Cameron County","Brownsville","",25.930568,-97.484093,16.245,10.42,7.255,20.55,33.575,124.97,103.68,"Adult","Male",26.8664479475074,"Tyrannus_couchii"
"1412",1443,"Tyrannus_couchii","","partial","taxonomy","140326",NA,"MM","The Field Museum","1912",4,"22","United States of America","Texas","Cameron County","Brownsville","",25.930568,-97.484093,17.43,10.625,7.58,20.305,NA,NA,NA,"Adult","Male",NA,"Tyrannus_couchii"
"1418",1449,"Tyrannus_dominicensis","dominicensis","migratory","taxonomy","140335",NA,"MM","The Field Museum","1908",5,"13","United States of America","Florida","Hillsborough","near Seven Oaks","",28.199439,-82.367248,21.875,11.76,9.02,18.765,31.545,113.88,82.75,"Adult","Male",27.700210748156,"Tyrannus_dominicensis_dominicensis"
"1419",1450,"Tyrannus_dominicensis","dominicensis","migratory","taxonomy","140336",NA,"MM","The Field Museum","1908",5,"13","United States of America","Florida","Hillsborough","near Seven Oaks","",28.199439,-82.367248,22.025,11.385,8.75,19.48,37.605,117.72,NA,"Adult","Male",31.9444444444444,"Tyrannus_dominicensis_dominicensis"
"1420",1451,"Tyrannus_dominicensis","dominicensis","migratory","taxonomy","140337",NA,"MM","The Field Museum","1919",7,"30","United States of America","Florida","Wakulla","St Marks, lighthouse","",30.13603,-84.406979,21.575,11.26,9.165,18.37,NA,NA,NA,"Adult","Male",NA,"Tyrannus_dominicensis_dominicensis"
"1421",1452,"Tyrannus_dominicensis","dominicensis","migratory","taxonomy","140338",NA,"MM","The Field Museum","1917",9,"26","United States of America","Florida","Wakulla","St Marks, lighthouse","",30.13603,-84.406979,22.13,11.145,9.47,19.595,NA,NA,NA,"Adult","Male",NA,"Tyrannus_dominicensis_dominicensis"
"1424",1455,"Tyrannus_melancholicus","satrapa","partial","taxonomy","140434",NA,"MM","Louisiana State University Museum of tural Sciences","1963",5,"12","Trinidad and Tobago","","","4 mi. N Mt. St. George","",11.25339,-60.6764,17.65,9.495,6.87,17.82,29.285,112.2,91.96,"Adult","Male",26.1007130124777,"Tyrannus_melancholicus_satrapa"
"1432",1465,"Tyrannus_verticalis","","migratory","taxonomy","141341",44.6,"MM","Royal Ontario Museum","1981",8,"23","United States of America","Arizo","Cochise County","8 km ESE Portal, Chiricahua Mountains","",31.88609,-109.063,NA,NA,NA,20.16,46.04,125.1,NA,"Adult","Male",36.8025579536371,"Tyrannus_verticalis"
"1433",1466,"Tyrannus_vociferans","vociferans","partial","taxonomy","141489",48.3,"MM","Royal Ontario Museum","1981",5,"13","United States of America","Texas","Jeff Davis County","10 mi N, 0.5 mi W Alpine","",30.49472,-103.663,NA,NA,NA,20.75,NA,138.93,90.98,"Adult","Male",NA,"Tyrannus_vociferans_vociferans"
"1434",1467,"Tyrannus_vociferans","vociferans","partial","taxonomy","141501",49.2,"MM","Royal Ontario Museum","1981",5,"25","United States of America","Texas","Brewster County","22 mi S Alpine","",30.03912,-103.574,NA,NA,NA,19.14,35.37,130.05,90.36,"Adult","Male",27.19723183391,"Tyrannus_vociferans_vociferans"
"1437",1470,"Tyrannus_cubensis","","sedentary","taxonomy","144189",NA,"MM","Louisiana State University Museum of tural Sciences","1912",4,"20","Cuba/Dominican Republic (from data base)","Guantanimo/Monte Cristi (from data base)","","Rio Seco Woods, San Carlos Estate, Giaubaux/5 km SE Pepillo Salcedo","",20.07703,-74.3967,25.995,14.14,11.525,22.2,35.495,132.195,NA,"Adult","Male",26.8504860244336,"Tyrannus_cubensis"
"1439",1472,"Tyrannus_tyrannus","","migratory","taxonomy","144253",NA,"Nacho","American Museum of tural History","1917",4,"19","Nicaragua","","","Matagalpa","2500 feet",12.89675,-85.9355,13.1,7.7,7,18.65,39.8,116,79,"Adult","Male",34.3103448275862,"Tyrannus_tyrannus"
"1445",1478,"Tyrannus_vociferans","vociferans","partial","taxonomy","147619",NA,"MM","Smithsonian tiol Museum of tural History","1866",NA,"","Mexico","","","","",23.634501,-102.552784,14.875,8.82,6.9,19.35,39.46,126.72,NA,"Adult","Male",31.1395202020202,"Tyrannus_vociferans_vociferans"
"1448",1481,"Tyrannus_albogularis","","migratory","taxonomy","151156",39,"MM","Louisiana State University Museum of tural Sciences","1989",9,"30","Bolivia","Santa Cruz","Jose Miguel de Velasco Province","Serranâ€™a de Huanchaca, 45 km E Florida","2379m",-14.57,-60.67,14.15,7.75,6.2,17.5,30.4,108.175,94.7,"Adult","Male",28.1026115091287,"Tyrannus_albogularis"
"1449",1482,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","151157",36,"MM","Louisiana State University Museum of tural Sciences","1989",6,"24","Bolivia","Santa Cruz","Jose Miguel de Velasco Province","Serrania de Huanchaca, 21 km SE Catarata Arco Iris","",-13.92,-60.75,16.965,8.37,7.04,16.895,29.925,109.905,89.14,"Adult","Male",27.228060597789,"Tyrannus_melancholicus_melancholicus"
"1451",1484,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","151159",33.5,"MM","Louisiana State University Museum of tural Sciences","1989",7,"8","Bolivia","Santa Cruz","Jose Miguel de Velasco Province","Serrania de Huanchaca, 21 km SE Catarata Arco Iris","",-13.92,-60.75,17.765,8.97,7.24,17.295,31.43,111.59,91.77,"Adult","Male",28.165606237118,"Tyrannus_melancholicus_melancholicus"
"1452",1485,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","151160",37,"MM","Louisiana State University Museum of tural Sciences","1989",7,"16","Bolivia","Santa Cruz","Jose Miguel de Velasco Province","Serrania de Huanchaca, 21 km SE Catarata Arco Iris","670m",-13.92,-60.75,18.025,9.055,7.75,17.135,31.46,111.12,NA,"Adult","Male",28.3117350611951,"Tyrannus_melancholicus_melancholicus"
"1454",1487,"Tyrannus_forficatus","","migratory","taxonomy","151634",NA,"MM","Royal Ontario Museum","1978",10,"30","Canada","Ontario","Thunder Bay District","Redrock","",48.94178,-88.2694,13.835,7.14,6.015,19.525,45.965,124.14,234.025,"Adult","Male",37.0267439987111,"Tyrannus_forficatus"
"1455",1488,"Tyrannus_melancholicus","melancholicus","partial","location","152042",NA,"MM","The Field Museum","1944",1,"18","Paraguay","Chaco","","Rio Pilcomayo, 15 mi W Rio Paraguay","",-27.2882,-58.8529,16.91,9.62,7.35,17.685,NA,NA,NA,"Adult","Male",NA,"Tyrannus_melancholicus_melancholicus"
"1459",1492,"Tyrannus_savana","savana","migratory","taxonomy","152549",NA,"MM","The Field Museum","1945",9,"29","Paraguay","Boqueron","","Orloff","",-22,-59.916667,12.505,6.98,6.11,18.8,39.735,111.115,251.413,"Adult","Male",35.7602483913063,"Tyrannus_savana_savana"
"1460",1493,"Tyrannus_savana","savana","migratory","taxonomy","152550",NA,"MM","The Field Museum","1945",10,"19","Paraguay","Boqueron","","Orloff","",-22,-59.916667,11.55,6.67,4.95,18.09,35.825,110.21,226.391,"Adult","Male",32.5061246710825,"Tyrannus_savana_savana"
"1461",1494,"Tyrannus_savana","savana","migratory","taxonomy","152551",NA,"MM","The Field Museum","1945",9,"26","Paraguay","Boqueron","","Philadelphia, 16 km W Orloff","",-22.3182,-59.9052,11.755,6.67,5.83,17.885,40.175,110.155,248.105,"Adult","Male",36.4713358449458,"Tyrannus_savana_savana"
"1463",1496,"Tyrannus_melancholicus","melancholicus","partial","location","152553",NA,"MM","The Field Museum","1945",11,"9","Paraguay","Boqueron","","Orloff","",-22,-59.916667,17.705,9.635,7.665,17.145,30.78,110.74,92.46,"Adult","Male",27.7948347480585,"Tyrannus_melancholicus_melancholicus"
"1464",1497,"Tyrannus_melancholicus","melancholicus","partial","location","152554",NA,"MM","The Field Museum","1945",2,"2","Paraguay","Boqueron","","Yslapoi, 36 km N Orloff","",-23,-60,18.625,9.895,NA,18.58,NA,NA,NA,"Adult","Male",NA,"Tyrannus_melancholicus_melancholicus"
"1465",1498,"Tyrannus_melancholicus","melancholicus","partial","location","152555",NA,"MM","The Field Museum","1945",11,"24","Paraguay","Boqueron","","Orloff","",-22,-59.916667,18.035,10.535,8.075,18.755,31.885,115.565,NA,"Adult","Male",27.5905334660148,"Tyrannus_melancholicus_melancholicus"
